StaffID,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu
A0002,1,1,UL,,,2,UL,2,UL,2,,,1,UL,1,AL,2,,,1,1,1,1,AL+/2,,,2,2,2,2
A0003,4,4,4,,,UL,UL,4,UL,4,,,UL,UL,4,4,4,,,AL+/2,4,4,4,AL/2,,,2,4,4,4
A0004,1,1,UL,,,2,UL,2,2,2,,,UL,UL,1,2,2,,,1,1,1,AL+/2,1,,,2,2,2,2
A0006,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
A0009,2,2,UL,,,1,UL,1,UL,1,,,UL,2,UL,2,2,,,2,AL+/2,2,2,AL,,,2,1,1,1
A0010,1,1,1,,,UL,2,UL,UL,UL,,,2,2,2,2,AL+/2,,,1,1,1,1,AL,,,2,2,2,2
A0012,AL,2,UL,,,UL,1,UL,1,UL,,,2,UL,2,2,2,,,AL+/2,2,2,2,2,,,2,1,1,1
A0016,2,2,UL,,,1,UL,1,2,1,,,UL,UL,UL,2,2,,,2,2,AL,2,AL+/2,,,2,1,1,1
A0017,2,2,2,,,UL,2,UL,2,UL,,,1,UL,1,1,AL+/2,,,2,AL/2,AL,2,2,,,2,2,2,2
A0018,1,1,1,,,UL,UL,2,2,2,,,UL,UL,2,2,2,,,1,1,1,1,AL+/2,,,2,2,2,2
A0027,2,2,2,,,UL,UL,UL,1,1,,,2,2,UL,2,AL,,,2,2,2,AL,AL+/2,,,2,1,1,1
A0029,2,2,2,,,UL,2,UL,2,UL,,,1,UL,1,1,1,,,2,AL+/2,2,2,AL/2,,,2,2,2,2
A0032,2,2,2,,,UL,UL,UL,UL,2,,,1,2,1,1,AL,,,2,AL+/2,2,AL/2,2,,,2,2,2,2
A0036,2,2,2,,,UL,UL,UL,2,2,,,1,UL,1,1,UL/2,,,AL,2,2,2,2,,,2,2,2,2
A0039,2,2,2,,,UL,2,UL,2,UL,,,UL,1,UL,1,1,,,2,2,2,AL/2,AL+/2,,,2,2,2,2
A0043,1,1,UL,,,2,2,2,UL,UL,,,UL,2,UL,2,AL+/2,,,AL,1,1,1,1,,,2,2,2,2
A0047,4,4,UL,,,UL,UL,UL,4,4,,,4,4,4,4,4,,,AL,4,4,4,4,,,2,4,4,4
A0048,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
A0049,AL,2,UL,,,1,UL,1,UL,1,,,UL,2,UL,AL+/2,2,,,2,2,2,2,2,,,2,1,1,1
A0050,4,4,UL,,,4,4,4,4,UL,,,UL,UL,UL,4,AL,,,4,4,4,4,AL+/2,,,2,4,4,4
A0053,2,2,1,,,UL,2,UL,UL,UL,,,1,2,UL,1,1,,,2,2,AL+/2,2,2,,,2,2,2,2
A0055,2,2,2,,,2,UL,UL,2,UL,,,UL,1,UL,1,1,,,2,2,AL+/2,2,AL,,,2,2,2,2
A0056,2,2,2,,,UL,1,UL,1,UL,,,2,UL,2,2,AL/2,,,2,2,2,2,AL/2,,,2,1,1,1
A0058,AL,4,4,,,4,4,4,UL,UL,,,UL,UL,UL,4,AL+/2,,,4,4,AL,4,AL,,,2,4,4,4
A0059,1,1,1,,,UL,UL,UL,2,2,,,2,UL,2,2,AL+/2,,,1,1,1,1,1,,,2,2,2,2
A0061,1,1,UL,,,2,UL,2,UL,2,,,2,UL,2,AL+/2,AL,,,1,1,1,1,1,,,2,2,2,2
A0062,2,2,2,,,UL,1,UL,1,UL,,,2,UL,2,2,2,,,2,2,2,2,AL+/2,,,2,1,1,1
A0063,AL+/2,2,UL,,,2,2,2,UL,UL,,,UL,1,UL,1,1,,,AL,2,AL/2,2,AL,,,2,2,2,2
A0066,2,2,UL,,,1,1,UL,1,UL,,,2,UL,2,2,AL+/2,,,2,2,2,AL/2,2,,,2,1,1,1
A0082,2,2,UL,,,UL,2,2,UL,2,,,1,UL,1,1,1,,,2,2,AL,AL+/2,2,,,2,2,2,2
A0085,1,1,UL,,,2,2,2,2,UL,,,UL,UL,UL,2,AL+/2,,,1,1,1,1,1,,,2,2,2,2
A0086,AL,2,UL,,,1,1,1,UL,UL,,,UL,UL,2,2,AL+/2,,,AL,AL,2,2,2,,,2,1,1,1
A0087,AL+/2,2,UL,,,2,UL,2,UL,2,,,UL,1,UL,1,1,,,AL/2,2,2,2,AL/2,,,2,2,2,2
A0089,2,2,UL,,,1,UL,1,UL,1,,,UL,2,UL,2,AL+/2,,,2,2,AL,AL/2,AL/2,,,2,1,1,1
A0090,2,2,2,,,UL,1,UL,1,UL,,,2,UL,2,2,AL,,,AL,2,2,AL,AL,,,2,1,1,1
A0092,1,1,UL,,,UL,UL,2,2,2,,,2,2,UL,AL,AL+/2,,,1,1,1,1,AL,,,2,2,2,2
A0095,AL,2,2,,,2,2,UL,UL,UL,,,UL,1,UL,1,1,,,AL+/2,2,2,UL/2,AL/2,,,2,2,2,2
A0097,2,2,2,,,UL,1,UL,1,UL,,,2,UL,2,2,AL,,,2,2,2,2,AL+/2,,,2,1,1,1
A0098,1,1,1,,,UL,2,UL,UL,2,,,UL,2,UL,2,AL+/2,,,1,1,1,1,1,,,2,2,2,2
A0099,1,1,1,,,UL,2,UL,2,UL,,,2,UL,2,2,AL+/2,,,1,1,1,1,1,,,2,2,2,2
A0100,4,4,UL,,,4,UL,UL,UL,4,,,4,4,4,AL+/2,4,,,4,4,AL,4,AL/2,,,2,4,4,4
A0103,AL,2,2,,,UL,2,UL,2,UL,,,UL,1,1,1,1,,,2,2,2,2,2,,,2,2,2,2
A0104,1,1,UL,,,2,2,UL,UL,UL,,,2,2,UL,2,2,,,1,1,1,1,1,,,2,2,2,2
A0105,2,2,UL,,,1,UL,1,UL,1,,,UL,2,UL,2,2,,,2,2,2,2,2,,,2,1,1,1
A0106,2,2,1,,,UL,2,UL,2,UL,,,UL,2,UL,1,1,,,2,2,2,2,2,,,2,2,2,2
A0107,1,1,UL,,,2,UL,2,UL,2,,,2,UL,2,2,2,,,1,1,1,1,1,,,2,2,2,2
A0109,2,2,UL,,,1,UL,1,UL,1,,,UL,2,UL,2,2,,,2,2,2,2,2,,,2,1,1,1
A0110,1,1,UL,,,2,UL,2,UL,2,,,2,UL,2,2,2,,,1,1,1,1,1,,,2,2,2,2
A0111,1,1,1,,,UL,2,UL,UL,UL,,,2,2,2,2,2,,,1,1,1,1,1,,,2,2,2,2
A0113,2,2,UL,,,2,UL,2,UL,2,,,UL,1,UL,1,1,,,2,2,2,2,2,,,2,2,2,2
A0114,2,2,2,,,UL,1,UL,1,UL,,,2,UL,2,2,2,,,2,2,2,2,2,,,2,1,1,1
A0115,2,2,UL,,,2,UL,2,UL,2,,,UL,1,UL,1,1,,,2,2,2,2,2,,,2,2,2,2
A0117,1,1,1,,,UL,2,UL,2,UL,,,UL,UL,2,2,2,,,1,1,1,AL/2,1,,,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0007,1,1,1,,,UL,UL,UL,UL,UL,,,2,2,2,2,2,,,1,1,1,1,1,,,2,2,2,2
J0013,2,2,UL,,,2,UL,2,UL,2,,,UL,1,UL,1,1,,,AL+/2,AL/2,AL/2,AL/2,2,,,2,2,2,2
J0014,UL,UL,UL,,,UL,UL,UL,UL,UL,,,UL,UL,UL,UL,UL,,,UL,UL,UL,UL,UL,,,UL,UL,UL,UL
J0015,2,2,UL,,,2,UL/2,2,2,2,,,UL,UL,UL,1,1,,,2,2,2,2,AL+/2,,,2,2,2,2
J0017,2,2,2,,,UL,2,UL,2,UL,,,1,UL,1,1,1,,,2,2,AL,2,AL+/2,,,2,2,2,2
J0029,AL,2,UL,,,UL,1,UL,1,1,,,UL,2,UL,2,2,,,AL+/2,2,2,2,2,,,2,1,1,1
J0034,1,1,UL,,,UL,UL,2,2,UL,,,2,2,UL,2,AL+/2,,,1,1,1,1,1,,,2,2,2,2
J0037,4,4,4,,,4,4,4,4,UL,,,UL,UL,UL,4,4,,,4,4,4,AL+/2,4,,,2,4,4,4
J0038,AL,2,2,,,1,2,UL,UL,1,,,UL,UL,2,2,2,,,2,2,2,2,AL+/2,,,2,1,1,1
J0048,2,2,UL,,,UL,UL,1,1,UL,,,2,2,UL,2,2,,,2,2,2,2,AL+/2,,,2,1,1,1
J0049,AL/2,1,1,,,2,2,UL,UL,2,,,UL,UL,2,2,2,,,1,1,1,1,1,,,2,2,2,2
J0053,1,1,UL,,,2,UL,2,2,2,,,AL,AL,PL,PL,PL,,,AL+,1,1,1,1,,,2,2,2,2
J0055,4,4,UL,,,UL,UL,UL,UL,4,,,4,4,4,4,4,,,AL,4,AL+/2,4,4,,,2,4,4,4
J0058,4,4,UL,,,UL,UL,UL,UL,4,,,4,4,4,4,4,,,AL,4,4,4,AL+/2,,,2,4,4,4
J0059,AL+/2,4,4,,,UL,4,UL,4,UL,,,4,4,UL,AL/2,AL/2,,,4,4,4,4,4,,,2,4,4,4
J0060,2,2,UL,,,1,UL,1,UL,UL,,,2,2,2,2,AL+/2,,,2,AL/2,2,AL/2,2,,,2,1,1,1
J0061,1,1,UL,,,2,UL,2,UL,2,,,2,2,2,2,AL/2,,,1,1,1,AL/2,1,,,2,2,2,2
J0062,AL+/2,2,UL,,,2,1,UL,UL,2,,,1,1,UL,1,AL/2,,,2,2,AL/2,1,2,,,2,2,2,2
J0063,1,1,UL,,,2,UL,2,2,2,,,UL,2,UL,2,2,,,AL,1,1,1,1,,,2,2,2,2
